vente_id,date_id,client_id,produit_id,quantite,prix_unitaire_vente,montant_total,nom_produit,categorie,prix_unitaire_produit,unite_mesure,origine,nom,prenom,genre,age,ville,statut_marital,date_complete,jour,mois,mois_nom,annee,trimestre
11,1430,374,310,3,351.95,1055.85,Lessive,Produits Ménagers,92.28,Paquet,France,Benslimane,Soufiane,Homme,63,Marrakech,Marié(E),2021-11-30,30,11,November,2021,4
12,824,971,674,8,294.0,2352.0,Carottes,Légumes,69.07,Unité,Maroc,Benali,Mohamed,Homme,47,Kenitra,Marié(E),2020-04-03,3,4,April,2020,2
13,2038,781,134,2,333.0,666.0,Shampoing,Hygiène,9.23,Unité,États-Unis,Toumi,Laila,Femme,60,Agadir,Célibataire,2023-07-31,31,7,July,2023,3
14,524,132,515,9,69.26,623.34,Riz,Épicerie,48.99,Paquet,France,Kabbaj,Fatima,Femme,25,Kenitra,Célibataire,2019-06-08,8,6,June,2019,2
15,1545,460,960,1,228.36,228.36,Soda,Boissons,111.45,Bouteille,France,Benslimane,Soufiane,Homme,60,Casablanca,Célibataire,2022-03-25,25,3,March,2022,1
16,529,200,758,3,5.48,16.44,Croissant,Pâtisserie,87.6,Bouteille,France,Ouazzani,Laila,Femme,31,Oujda,Marié(E),2019-06-13,13,6,June,2019,2
17,1957,585,762,7,478.05,3346.35,Makrout,Pâtisserie,61.75,Bouteille,États-Unis,El Amrani,Mohamed,Homme,41,Marrakech,Marié(E),2023-05-11,11,5,May,2023,2
18,681,519,632,9,136.48,1228.32,Pain Au Chocolat,Pâtisserie,99.55,Kg,Espagne,Boukhari,Soufiane,Homme,28,Fès,Célibataire,2019-11-12,12,11,November,2019,4
19,1932,289,158,5,307.42,1537.1,Eau De Javel,Produits Ménagers,29.15,Unité,États-Unis,El Amrani,Khadija,Femme,57,Marrakech,Célibataire,2023-04-16,16,4,April,2023,2
20,1014,17,679,5,161.65,808.25,Yaourt,Produits Laitiers,194.52,Litre,France,Kabbaj,Fatima,Femme,29,Marrakech,Célibataire,2020-10-10,10,10,October,2020,4
21,732,655,706,10,232.52,2325.2,Carottes,Légumes,179.81,Unité,États-Unis,Benslimane,Laila,Femme,38,Casablanca,Célibataire,2020-01-02,2,1,January,2020,1
22,1332,475,334,3,8.74,26.22,Détergent,Produits Ménagers,42.3,Paquet,Maroc,Boukhari,Mohamed,Homme,65,Casablanca,Célibataire,2021-08-24,24,8,August,2021,3
23,1766,520,966,2,60.74,121.48,Mixeur,Électroménager,194.75,Bouteille,France,Toumi,Rachid,Homme,65,Casablanca,Marié(E),2022-11-01,1,11,November,2022,4
24,946,826,768,10,290.21,2902.1,Farine,Épicerie,10.74,Paquet,Espagne,Benslimane,Youssef,Homme,41,Marrakech,Marié(E),2020-08-03,3,8,August,2020,3
25,1456,468,700,8,243.13,1945.04,Jus D’Orange,Boissons,33.35,Unité,France,El Amrani,Fatima,Femme,51,Kenitra,Célibataire,2021-12-26,26,12,December,2021,4
26,1069,676,434,10,480.0,4800.0,Pastèque,Fruits,94.6,Kg,États-Unis,Toumi,Fatima,Femme,48,Kenitra,Marié(E),2020-12-04,4,12,December,2020,4
27,559,231,858,2,462.67,925.34,Courgettes,Légumes,149.55,Bouteille,Espagne,Ouazzani,Amina,Femme,21,Kenitra,Marié(E),2019-07-13,13,7,July,2019,3
28,2105,513,3,7,47.9,335.3,Pois Chiches,Épicerie,101.65,Bouteille,Maroc,Toumi,Soufiane,Homme,37,Agadir,Marié(E),2023-10-06,6,10,October,2023,4
29,299,953,480,8,437.79,3502.32,Poivrons,Légumes,184.44,Litre,États-Unis,Maaroufi,Rachid,Homme,32,Kenitra,Marié(E),2018-10-26,26,10,October,2018,4
30,1064,243,94,7,145.76,1020.32,Dattes,Fruits,48.91,Unité,Espagne,Benslimane,Laila,Femme,64,Casablanca,Marié(E),2020-11-29,29,11,November,2020,4
31,1970,434,798,3,387.14,1161.42,Oignons,Légumes,140.35,Unité,Maroc,Boukhari,Mohamed,Homme,34,Agadir,Marié(E),2023-05-24,24,5,May,2023,2
32,1512,866,981,9,211.79,1906.11,Couscous,Épicerie,191.31,Bouteille,États-Unis,Maaroufi,Soufiane,Homme,27,Casablanca,Célibataire,2022-02-20,20,2,February,2022,1
33,1988,409,575,8,385.51,3084.08,Farine,Épicerie,145.31,Unité,Espagne,Kabbaj,Hassan,Homme,28,Tanger,Célibataire,2023-06-11,11,6,June,2023,2
34,907,91,85,8,54.22,433.76,Couscous,Épicerie,75.71,Unité,États-Unis,Ouazzani,Hassan,Homme,27,Casablanca,Marié(E),2020-06-25,25,6,June,2020,2
35,321,801,9,10,62.07,620.7,Brioche,Pâtisserie,60.21,Litre,Maroc,Maaroufi,Amina,Femme,55,Fès,Célibataire,2018-11-17,17,11,November,2018,4
36,1958,488,384,3,431.61,1294.83,Mixeur,Électroménager,47.89,Kg,France,El Amrani,Laila,Femme,31,Agadir,Célibataire,2023-05-12,12,5,May,2023,2
37,1387,952,78,1,465.38,465.38,Ventilateur,Électroménager,77.39,Unité,France,El Amrani,Fatima,Femme,40,Oujda,Marié(E),2021-10-18,18,10,October,2021,4
38,1606,8,916,6,350.79,2104.74,Yaourt,Produits Laitiers,72.1,Bouteille,États-Unis,Toumi,Mohamed,Homme,39,Fès,Marié(E),2022-05-25,25,5,May,2022,2
39,1131,42,516,1,61.84,61.84,Lait,Produits Laitiers,60.07,Litre,États-Unis,El Fassi,Khadija,Femme,53,Casablanca,Célibataire,2021-02-04,4,2,February,2021,1
40,1359,536,765,5,136.35,681.75,Poulet,Viandes,109.52,Paquet,Maroc,Kabbaj,Mohamed,Homme,23,Tanger,Célibataire,2021-09-20,20,9,September,2021,3
41,1172,847,150,5,42.14,210.7,Shampoing,Hygiène,171.94,Paquet,États-Unis,Kabbaj,Mohamed,Homme,38,Rabat,Célibataire,2021-03-17,17,3,March,2021,1
42,809,180,163,5,197.55,987.75,Poulet,Viandes,139.91,Unité,France,Bouzid,Khadija,Femme,63,Tanger,Marié(E),2020-03-19,19,3,March,2020,1
43,1282,509,95,9,42.02,378.18,Shampoing,Hygiène,20.23,Litre,Espagne,Bouzid,Amina,Femme,40,Rabat,Marié(E),2021-07-05,5,7,July,2021,3
44,2178,605,782,7,53.58,375.06,Shampoing,Hygiène,116.78,Kg,États-Unis,Ouazzani,Hassan,Homme,32,Rabat,Marié(E),2023-12-18,18,12,December,2023,4
45,1075,566,172,4,474.7,1898.8,Farine,Épicerie,172.82,Unité,États-Unis,Maaroufi,Amina,Femme,60,Agadir,Célibataire,2020-12-10,10,12,December,2020,4
46,1138,538,245,8,137.35,1098.8,Jus D’Orange,Boissons,126.6,Unité,Espagne,Boukhari,Noura,Femme,49,Rabat,Marié(E),2021-02-11,11,2,February,2021,1
47,1155,354,517,2,347.41,694.82,Yaourt,Produits Laitiers,54.09,Kg,Espagne,Ouazzani,Amina,Femme,18,Rabat,Célibataire,2021-02-28,28,2,February,2021,1
48,833,220,813,10,339.2,3392.0,Carottes,Légumes,48.96,Kg,Maroc,Toumi,Noura,Femme,54,Casablanca,Marié(E),2020-04-12,12,4,April,2020,2
49,653,435,633,3,261.48,784.44,Gel Douche,Hygiène,13.39,Bouteille,Espagne,El Fassi,Hassan,Homme,26,Fès,Célibataire,2019-10-15,15,10,October,2019,4
50,1928,821,386,5,384.22,1921.1,Bœuf,Viandes,160.67,Bouteille,Maroc,Bouzid,Fatima,Femme,24,Casablanca,Marié(E),2023-04-12,12,4,April,2023,2
51,500,596,343,1,116.56,116.56,Shampoing,Hygiène,105.61,Litre,États-Unis,Benslimane,Noura,Femme,39,Marrakech,Célibataire,2019-05-15,15,5,May,2019,2
52,1479,752,576,4,474.61,1898.44,Dentifrice,Hygiène,37.84,Unité,États-Unis,Bouzid,Khadija,Femme,64,Marrakech,Marié(E),2022-01-18,18,1,January,2022,1
53,1633,74,757,8,228.3,1826.4,Pommes De Terre,Légumes,78.21,Paquet,Espagne,Benali,Mohamed,Homme,37,Marrakech,Marié(E),2022-06-21,21,6,June,2022,2
54,1805,580,169,9,199.26,1793.34,Pois Chiches,Épicerie,81.24,Paquet,Maroc,Ouazzani,Mohamed,Homme,22,Fès,Marié(E),2022-12-10,10,12,December,2022,4
55,2096,690,75,5,315.02,1575.1,Mixeur,Électroménager,91.16,Litre,Maroc,Boukhari,Laila,Femme,36,Rabat,Célibataire,2023-09-27,27,9,September,2023,3
56,1153,726,888,6,455.48,2732.88,Thé Vert,Boissons,175.24,Bouteille,Espagne,El Fassi,Youssef,Homme,26,Marrakech,Célibataire,2021-02-26,26,2,February,2021,1
57,1491,355,51,1,266.8,266.8,Brioche,Pâtisserie,118.51,Litre,États-Unis,Toumi,Khadija,Femme,33,Kenitra,Marié(E),2022-01-30,30,1,January,2022,1
58,441,680,592,4,58.63,234.52,Bouilloire,Électroménager,53.21,Unité,France,El Fassi,Amina,Femme,41,Fès,Marié(E),2019-03-17,17,3,March,2019,1
59,2007,664,14,9,46.54,418.86,Bouilloire,Électroménager,30.35,Bouteille,États-Unis,Ouazzani,Mohamed,Homme,63,Kenitra,Célibataire,2023-06-30,30,6,June,2023,2
60,1091,95,447,8,229.27,1834.16,Lait,Boissons,42.07,Litre,Maroc,Kabbaj,Youssef,Homme,47,Rabat,Marié(E),2020-12-26,26,12,December,2020,4
61,1487,934,741,5,84.84,424.2,Poulet,Viandes,80.81,Unité,France,Bouzid,Mohamed,Homme,38,Tanger,Célibataire,2022-01-26,26,1,January,2022,1
62,320,232,897,9,374.1,3366.9,Croissant,Pâtisserie,146.55,Bouteille,États-Unis,Bouzid,Hassan,Homme,42,Rabat,Célibataire,2018-11-16,16,11,November,2018,4
63,413,924,854,2,162.75,325.5,Tomates,Légumes,105.53,Paquet,France,Benslimane,Rachid,Homme,20,Oujda,Célibataire,2019-02-17,17,2,February,2019,1
64,1150,590,628,7,452.13,3164.91,Mouton,Viandes,164.72,Unité,Maroc,Benslimane,Hassan,Homme,63,Fès,Marié(E),2021-02-23,23,2,February,2021,1
65,1387,937,313,1,483.43,483.43,Makrout,Pâtisserie,101.24,Unité,France,Toumi,Hassan,Homme,59,Casablanca,Marié(E),2021-10-18,18,10,October,2021,4
66,1478,989,119,2,363.3,726.6,Liquide Vaisselle,Produits Ménagers,170.27,Unité,Espagne,Boukhari,Khadija,Femme,50,Marrakech,Marié(E),2022-01-17,17,1,January,2022,1
67,681,184,426,10,94.57,945.7,Lait,Produits Laitiers,17.52,Unité,Espagne,Ouazzani,Youssef,Homme,38,Oujda,Marié(E),2019-11-12,12,11,November,2019,4
68,1055,290,440,7,45.87,321.09,Pois Chiches,Épicerie,56.55,Bouteille,Espagne,Toumi,Amina,Femme,54,Rabat,Célibataire,2020-11-20,20,11,November,2020,4
69,1712,178,742,2,45.21,90.42,Mouton,Viandes,70.1,Kg,États-Unis,Toumi,Hassan,Homme,51,Kenitra,Marié(E),2022-09-08,8,9,September,2022,3
70,1956,891,307,6,174.48,1046.88,Fromage,Produits Laitiers,32.68,Kg,France,Boukhari,Mohamed,Homme,59,Casablanca,Célibataire,2023-05-10,10,5,May,2023,2
71,748,558,320,8,315.18,2521.44,Café,Boissons,8.27,Paquet,Espagne,El Fassi,Amina,Femme,45,Tanger,Marié(E),2020-01-18,18,1,January,2020,1
72,955,54,982,5,321.83,1609.15,Poulet,Viandes,102.61,Unité,Espagne,Bouzid,Khadija,Femme,19,Agadir,Marié(E),2020-08-12,12,8,August,2020,3
73,317,295,576,5,451.97,2259.85,Dentifrice,Hygiène,37.84,Unité,États-Unis,El Amrani,Mohamed,Homme,26,Tanger,Marié(E),2018-11-13,13,11,November,2018,4
74,1403,569,715,2,226.21,452.42,Bananes,Fruits,58.13,Kg,États-Unis,Benslimane,Amina,Femme,26,Marrakech,Marié(E),2021-11-03,3,11,November,2021,4
75,1935,689,897,1,318.87,318.87,Croissant,Pâtisserie,146.55,Bouteille,États-Unis,Kabbaj,Laila,Femme,37,Rabat,Marié(E),2023-04-19,19,4,April,2023,2
76,1713,99,380,5,214.97,1074.85,Pois Chiches,Épicerie,149.56,Unité,Maroc,El Amrani,Mohamed,Homme,52,Marrakech,Marié(E),2022-09-09,9,9,September,2022,3
77,2100,151,241,5,11.85,59.25,Dattes,Fruits,34.62,Litre,États-Unis,Toumi,Noura,Femme,49,Oujda,Marié(E),2023-10-01,1,10,October,2023,4
78,749,932,687,8,322.53,2580.24,Farine,Épicerie,158.11,Unité,Espagne,Ouazzani,Hassan,Homme,34,Agadir,Marié(E),2020-01-19,19,1,January,2020,1
79,113,735,148,9,487.66,4388.94,Poulet,Viandes,85.18,Bouteille,Maroc,Benslimane,Mohamed,Homme,55,Kenitra,Célibataire,2018-04-23,23,4,April,2018,2
80,576,607,315,9,450.69,4056.21,Mouton,Viandes,177.91,Kg,États-Unis,Boukhari,Khadija,Femme,53,Kenitra,Célibataire,2019-07-30,30,7,July,2019,3
81,373,647,483,7,226.1,1582.7,Liquide Vaisselle,Produits Ménagers,147.82,Paquet,France,Kabbaj,Youssef,Homme,51,Oujda,Célibataire,2019-01-08,8,1,January,2019,1
82,616,655,722,5,384.63,1923.15,Croissant,Pâtisserie,56.34,Paquet,France,Benslimane,Laila,Femme,38,Casablanca,Célibataire,2019-09-08,8,9,September,2019,3
83,394,889,363,6,425.88,2555.28,Melon,Fruits,172.83,Kg,France,Kabbaj,Fatima,Femme,21,Fès,Marié(E),2019-01-29,29,1,January,2019,1
84,929,372,589,2,412.42,824.84,Brioche,Pâtisserie,154.33,Litre,États-Unis,Boukhari,Mohamed,Homme,32,Rabat,Célibataire,2020-07-17,17,7,July,2020,3
85,55,100,833,1,15.73,15.73,Ventilateur,Électroménager,126.53,Kg,Maroc,Kabbaj,Khadija,Femme,32,Rabat,Célibataire,2018-02-24,24,2,February,2018,1
86,2120,914,160,10,402.61,4026.1,Courgettes,Légumes,116.64,Paquet,États-Unis,Maaroufi,Laila,Femme,44,Oujda,Célibataire,2023-10-21,21,10,October,2023,4
87,1447,674,795,5,321.99,1609.95,Fromage,Produits Laitiers,110.52,Litre,France,Bouzid,Soufiane,Homme,62,Fès,Célibataire,2021-12-17,17,12,December,2021,4
88,148,331,208,1,58.14,58.14,Brioche,Pâtisserie,40.45,Paquet,France,Ouazzani,Khadija,Femme,61,Rabat,Célibataire,2018-05-28,28,5,May,2018,2
89,1883,916,840,3,174.0,522.0,Croissant,Pâtisserie,14.85,Unité,États-Unis,Toumi,Khadija,Femme,41,Casablanca,Marié(E),2023-02-26,26,2,February,2023,1
90,1635,514,796,7,422.2,2955.4,Dentifrice,Hygiène,13.41,Unité,Maroc,Toumi,Soufiane,Homme,50,Agadir,Célibataire,2022-06-23,23,6,June,2022,2
91,1685,12,776,9,371.49,3343.41,Gel Douche,Hygiène,124.33,Kg,Espagne,Ouazzani,Soufiane,Homme,21,Tanger,Célibataire,2022-08-12,12,8,August,2022,3
92,2189,479,462,1,73.42,73.42,Pommes De Terre,Légumes,113.67,Kg,Espagne,Ouazzani,Youssef,Homme,45,Fès,Marié(E),2023-12-29,29,12,December,2023,4
93,975,590,496,7,269.07,1883.49,Lait,Produits Laitiers,146.6,Paquet,États-Unis,Benslimane,Hassan,Homme,63,Fès,Marié(E),2020-09-01,1,9,September,2020,3
94,1955,130,46,7,314.69,2202.83,Bœuf,Viandes,54.57,Kg,France,Bouzid,Fatima,Femme,48,Rabat,Marié(E),2023-05-09,9,5,May,2023,2
95,1373,933,210,9,149.25,1343.25,Jus D’Orange,Boissons,32.94,Kg,Espagne,Bouzid,Rachid,Homme,37,Fès,Marié(E),2021-10-04,4,10,October,2021,4
96,353,938,652,2,287.09,574.18,Makrout,Pâtisserie,26.55,Bouteille,États-Unis,Toumi,Laila,Femme,23,Marrakech,Célibataire,2018-12-19,19,12,December,2018,4
97,118,888,705,10,482.22,4822.2,Lait,Produits Laitiers,39.78,Paquet,États-Unis,Benslimane,Hassan,Homme,36,Kenitra,Marié(E),2018-04-28,28,4,April,2018,2
98,759,843,891,3,424.22,1272.66,Bananes,Fruits,110.19,Paquet,États-Unis,Maaroufi,Noura,Femme,28,Tanger,Célibataire,2020-01-29,29,1,January,2020,1
99,471,911,895,5,382.86,1914.3,Carottes,Légumes,46.87,Paquet,France,Benslimane,Youssef,Homme,20,Casablanca,Célibataire,2019-04-16,16,4,April,2019,2
100,1634,13,285,3,86.08,258.24,Poivrons,Légumes,92.19,Unité,États-Unis,Boukhari,Youssef,Homme,47,Fès,Célibataire,2022-06-22,22,6,June,2022,2
101,1603,1000,761,9,191.51,1723.59,Riz,Épicerie,195.76,Litre,Espagne,Kabbaj,Soufiane,Homme,41,Oujda,Marié(E),2022-05-22,22,5,May,2022,2
102,1556,892,146,10,185.66,1856.6,Makrout,Pâtisserie,117.91,Kg,Maroc,Benali,Youssef,Homme,63,Casablanca,Marié(E),2022-04-05,5,4,April,2022,2
103,1960,216,292,1,72.98,72.98,Thé Vert,Boissons,118.66,Kg,États-Unis,Kabbaj,Noura,Femme,49,Oujda,Célibataire,2023-05-14,14,5,May,2023,2
104,156,711,398,8,466.34,3730.72,Fer À Repasser,Électroménager,13.16,Kg,France,Kabbaj,Soufiane,Homme,24,Casablanca,Marié(E),2018-06-05,5,6,June,2018,2
105,509,2,347,7,388.98,2722.86,Fraises,Fruits,42.1,Litre,Maroc,El Amrani,Youssef,Homme,64,Rabat,Marié(E),2019-05-24,24,5,May,2019,2
106,293,440,401,7,176.26,1233.82,Jus D’Orange,Boissons,27.18,Paquet,Espagne,Benslimane,Laila,Femme,31,Rabat,Célibataire,2018-10-20,20,10,October,2018,4
107,472,191,696,6,408.36,2450.16,Lessive,Produits Ménagers,85.73,Paquet,États-Unis,Toumi,Youssef,Homme,44,Fès,Marié(E),2019-04-17,17,4,April,2019,2
108,794,804,547,10,413.96,4139.6,Lentilles,Épicerie,104.74,Paquet,Espagne,Benslimane,Laila,Femme,43,Marrakech,Marié(E),2020-03-04,4,3,March,2020,1
109,1856,107,728,3,422.5,1267.5,Dentifrice,Hygiène,9.98,Paquet,États-Unis,Bouzid,Hassan,Homme,48,Agadir,Marié(E),2023-01-30,30,1,January,2023,1
110,547,608,689,4,267.61,1070.44,Croissant,Pâtisserie,80.77,Unité,États-Unis,Bouzid,Fatima,Femme,25,Rabat,Marié(E),2019-07-01,1,7,July,2019,3
111,383,534,48,4,127.32,509.28,Mouton,Viandes,92.27,Litre,Maroc,Benslimane,Youssef,Homme,26,Rabat,Marié(E),2019-01-18,18,1,January,2019,1
112,973,695,289,3,349.54,1048.62,Lentilles,Épicerie,164.79,Unité,France,Boukhari,Hassan,Homme,24,Rabat,Célibataire,2020-08-30,30,8,August,2020,3
113,29,873,698,4,461.34,1845.36,Pommes De Terre,Légumes,150.94,Bouteille,Espagne,Toumi,Rachid,Homme,56,Agadir,Célibataire,2018-01-29,29,1,January,2018,1
114,1936,200,3,9,138.44,1245.96,Pois Chiches,Épicerie,101.65,Bouteille,Maroc,Ouazzani,Laila,Femme,31,Oujda,Marié(E),2023-04-20,20,4,April,2023,2
115,1046,960,668,3,319.62,958.86,Savon,Hygiène,12.98,Litre,France,Kabbaj,Soufiane,Homme,61,Rabat,Marié(E),2020-11-11,11,11,November,2020,4
116,365,740,501,9,439.9,3959.1,Shampoing,Hygiène,52.25,Litre,Maroc,Bouzid,Rachid,Homme,21,Kenitra,Célibataire,2018-12-31,31,12,December,2018,4
117,2117,300,873,8,336.95,2695.6,Bouilloire,Électroménager,169.3,Bouteille,France,El Amrani,Amina,Femme,22,Agadir,Célibataire,2023-10-18,18,10,October,2023,4
118,1152,91,397,2,332.33,664.66,Fromage,Produits Laitiers,163.71,Bouteille,États-Unis,Ouazzani,Hassan,Homme,27,Casablanca,Marié(E),2021-02-25,25,2,February,2021,1
119,1992,885,572,3,112.95,338.85,Liquide Vaisselle,Produits Ménagers,70.88,Litre,France,Ouazzani,Soufiane,Homme,27,Oujda,Célibataire,2023-06-15,15,6,June,2023,2
120,787,408,340,8,494.9,3959.2,Fromage,Produits Laitiers,93.12,Paquet,France,Maaroufi,Rachid,Homme,52,Agadir,Marié(E),2020-02-26,26,2,February,2020,1
121,94,125,414,5,73.46,367.3,Pain Au Chocolat,Pâtisserie,165.98,Bouteille,États-Unis,Bouzid,Soufiane,Homme,22,Tanger,Marié(E),2018-04-04,4,4,April,2018,2
122,1332,882,237,3,357.95,1073.85,Poulet,Viandes,16.93,Bouteille,Espagne,Ouazzani,Noura,Femme,57,Rabat,Célibataire,2021-08-24,24,8,August,2021,3
123,561,10,935,7,100.48,703.36,Poivrons,Légumes,143.62,Litre,Maroc,Boukhari,Soufiane,Homme,20,Rabat,Célibataire,2019-07-15,15,7,July,2019,3
124,1250,645,276,3,97.35,292.05,Oignons,Légumes,89.94,Paquet,Maroc,Benali,Khadija,Femme,23,Kenitra,Marié(E),2021-06-03,3,6,June,2021,2
125,629,360,169,5,213.01,1065.05,Pois Chiches,Épicerie,81.24,Paquet,Maroc,Maaroufi,Fatima,Femme,50,Kenitra,Célibataire,2019-09-21,21,9,September,2019,3
126,446,842,832,4,298.84,1195.36,Lessive,Produits Ménagers,185.37,Kg,Espagne,Maaroufi,Mohamed,Homme,41,Agadir,Célibataire,2019-03-22,22,3,March,2019,1
127,1789,92,950,1,31.69,31.69,Lentilles,Épicerie,138.69,Unité,Maroc,Benslimane,Rachid,Homme,27,Casablanca,Célibataire,2022-11-24,24,11,November,2022,4
128,1623,162,879,3,312.12,936.36,Farine,Épicerie,76.43,Bouteille,France,Ouazzani,Fatima,Femme,60,Tanger,Célibataire,2022-06-11,11,6,June,2022,2
129,543,17,555,8,156.1,1248.8,Mouton,Viandes,107.86,Paquet,Maroc,Kabbaj,Fatima,Femme,29,Marrakech,Célibataire,2019-06-27,27,6,June,2019,2
130,1738,794,523,5,98.79,493.95,Bouilloire,Électroménager,117.67,Litre,Espagne,Benslimane,Noura,Femme,57,Marrakech,Célibataire,2022-10-04,4,10,October,2022,4
131,1619,787,893,9,14.78,133.02,Détergent,Produits Ménagers,53.25,Paquet,Espagne,Bouzid,Youssef,Homme,43,Kenitra,Marié(E),2022-06-07,7,6,June,2022,2
132,1061,104,961,5,382.53,1912.65,Détergent,Produits Ménagers,11.83,Bouteille,France,Maaroufi,Mohamed,Homme,58,Marrakech,Célibataire,2020-11-26,26,11,November,2020,4
133,2101,188,520,3,162.71,488.13,Bouilloire,Électroménager,15.06,Litre,Espagne,Boukhari,Mohamed,Homme,65,Kenitra,Célibataire,2023-10-02,2,10,October,2023,4
134,482,966,40,3,229.05,687.15,Ventilateur,Électroménager,29.43,Litre,Maroc,Maaroufi,Rachid,Homme,39,Tanger,Marié(E),2019-04-27,27,4,April,2019,2
135,985,725,762,8,219.13,1753.04,Makrout,Pâtisserie,61.75,Bouteille,États-Unis,Kabbaj,Noura,Femme,40,Fès,Marié(E),2020-09-11,11,9,September,2020,3
136,1225,739,371,6,64.23,385.38,Savon,Hygiène,125.7,Bouteille,France,El Amrani,Rachid,Homme,27,Oujda,Marié(E),2021-05-09,9,5,May,2021,2
137,1505,351,732,8,42.84,342.72,Pois Chiches,Épicerie,14.93,Unité,Espagne,El Amrani,Hassan,Homme,20,Kenitra,Marié(E),2022-02-13,13,2,February,2022,1
138,1131,378,507,6,354.06,2124.36,Gel Douche,Hygiène,105.6,Litre,Espagne,Toumi,Laila,Femme,52,Rabat,Célibataire,2021-02-04,4,2,February,2021,1
139,298,305,25,9,56.82,511.38,Détergent,Produits Ménagers,19.34,Paquet,Maroc,Benslimane,Youssef,Homme,50,Rabat,Célibataire,2018-10-25,25,10,October,2018,4
140,1597,74,426,8,383.35,3066.8,Lait,Produits Laitiers,17.52,Unité,Espagne,Benali,Mohamed,Homme,37,Marrakech,Marié(E),2022-05-16,16,5,May,2022,2
141,1447,810,944,1,111.02,111.02,Carottes,Légumes,15.68,Bouteille,États-Unis,Ouazzani,Fatima,Femme,60,Fès,Marié(E),2021-12-17,17,12,December,2021,4
142,1298,300,677,7,281.21,1968.47,Poivrons,Légumes,198.65,Unité,États-Unis,El Amrani,Amina,Femme,22,Agadir,Célibataire,2021-07-21,21,7,July,2021,3
143,799,168,157,7,330.22,2311.54,Eau De Javel,Produits Ménagers,146.14,Kg,États-Unis,Toumi,Rachid,Homme,64,Rabat,Marié(E),2020-03-09,9,3,March,2020,1
144,2079,462,514,7,410.83,2875.81,Riz,Épicerie,162.17,Kg,Espagne,Kabbaj,Fatima,Femme,42,Casablanca,Célibataire,2023-09-10,10,9,September,2023,3
145,2021,527,472,10,314.78,3147.8,Poivrons,Légumes,103.58,Unité,Maroc,Bouzid,Noura,Femme,57,Kenitra,Célibataire,2023-07-14,14,7,July,2023,3
146,1676,580,370,2,225.23,450.46,Croissant,Pâtisserie,91.7,Paquet,Espagne,Ouazzani,Mohamed,Homme,22,Fès,Marié(E),2022-08-03,3,8,August,2022,3
147,1758,179,102,2,391.05,782.1,Pommes De Terre,Légumes,50.64,Kg,Espagne,Toumi,Fatima,Femme,35,Oujda,Célibataire,2022-10-24,24,10,October,2022,4
148,2062,514,698,7,226.75,1587.25,Pommes De Terre,Légumes,150.94,Bouteille,Espagne,Toumi,Soufiane,Homme,50,Agadir,Célibataire,2023-08-24,24,8,August,2023,3
149,351,210,956,1,99.97,99.97,Mixeur,Électroménager,49.86,Bouteille,Espagne,Kabbaj,Mohamed,Homme,48,Fès,Marié(E),2018-12-17,17,12,December,2018,4
150,125,902,39,3,51.83,155.49,Brioche,Pâtisserie,199.75,Paquet,Espagne,Bouzid,Soufiane,Homme,34,Marrakech,Marié(E),2018-05-05,5,5,May,2018,2
151,172,415,406,5,204.56,1022.8,Melon,Fruits,171.86,Kg,France,Benslimane,Laila,Femme,63,Oujda,Marié(E),2018-06-21,21,6,June,2018,2
